step,m,time
1,2,7
1,2,9
1,2,7
1,2,6
1,2,7
1,2,7
1,2,6
1,2,7
1,2,8
1,2,13
1,2,5
1,2,6
1,2,7
1,2,6
1,2,6
1,2,4
1,2,6
1,2,7
1,2,6
1,2,6
1,2,7
1,2,6
1,2,7
1,2,6
1,2,6
1,2,7
1,2,5
1,2,6
1,2,7
1,2,6
1,2,7
1,2,7
1,2,6
1,2,6
1,2,7
1,2,6
1,2,6
1,2,7
1,2,7
1,2,7
1,2,9
1,2,8
1,2,6
1,2,22
1,2,7
1,2,6
1,2,6
1,2,4
1,2,6
1,2,7
1,2,7
1,2,7
1,2,7
1,2,6
1,2,7
1,2,7
1,2,7
1,2,6
1,2,7
1,2,9
1,2,4
1,2,6
1,2,7
1,2,6
1,2,4
1,2,6
1,2,7
1,2,6
1,2,7
1,2,6
1,2,6
1,2,7
1,2,8
1,2,6
1,2,6
1,2,7
1,2,7
1,2,7
1,2,5
1,2,7
1,2,7
1,2,7
1,2,7
1,2,8
1,2,7
1,2,6
1,2,7
1,2,6
1,2,6
1,2,4
1,2,7
1,2,7
1,2,6
1,2,6
1,2,6
1,2,6
1,2,7
1,2,4
1,2,6
1,2,7
1,4,10
1,4,11
1,4,8
1,4,12
1,4,11
1,4,11
1,4,9
1,4,13
1,4,7
1,4,23
1,4,13
1,4,12
1,4,8
1,4,12
1,4,17
1,4,11
1,4,11
1,4,9
1,4,11
1,4,11
1,4,9
1,4,12
1,4,11
1,4,11
1,4,9
1,4,12
1,4,11
1,4,11
1,4,14
1,4,9
1,4,11
1,4,11
1,4,13
1,4,9
1,4,9
1,4,11
1,4,9
1,4,12
1,4,10
1,4,10
1,4,11
1,4,13
1,4,12
1,4,11
1,4,12
1,4,8
1,4,10
1,4,12
1,4,11
1,4,12
1,4,9
1,4,12
1,4,11
1,4,11
1,4,11
1,4,11
1,4,20
1,4,11
1,4,11
1,4,9
1,4,11
1,4,12
1,4,13
1,4,10
1,4,12
1,4,9
1,4,11
1,4,11
1,4,11
1,4,11
1,4,11
1,4,10
1,4,11
1,4,11
1,4,13
1,4,11
1,4,7
1,4,17
1,4,8
1,4,6
1,4,9
1,4,10
1,4,12
1,4,12
1,4,11
1,4,9
1,4,11
1,4,11
1,4,10
1,4,13
1,4,11
1,4,9
1,4,25
1,4,12
1,4,11
1,4,12
1,4,11
1,4,10
1,4,9
1,4,12
1,8,17
1,8,18
1,8,14
1,8,18
1,8,18
1,8,18
1,8,18
1,8,18
1,8,18
1,8,18
1,8,24
1,8,20
1,8,18
1,8,14
1,8,13
1,8,19
1,8,18
1,8,18
1,8,18
1,8,17
1,8,19
1,8,18
1,8,14
1,8,22
1,8,23
1,8,14
1,8,21
1,8,20
1,8,21
1,8,18
1,8,17
1,8,20
1,8,16
1,8,18
1,8,17
1,8,15
1,8,16
1,8,19
1,8,19
1,8,19
1,8,17
1,8,19
1,8,18
1,8,18
1,8,16
1,8,12
1,8,18
1,8,18
1,8,20
1,8,14
1,8,18
1,8,15
1,8,15
1,8,18
1,8,19
1,8,20
1,8,20
1,8,19
1,8,18
1,8,17
1,8,16
1,8,17
1,8,13
1,8,16
1,8,16
1,8,20
1,8,16
1,8,12
1,8,18
1,8,17
1,8,16
1,8,20
1,8,18
1,8,13
1,8,16
1,8,18
1,8,19
1,8,15
1,8,19
1,8,18
1,8,16
1,8,20
1,8,20
1,8,12
1,8,18
1,8,17
1,8,15
1,8,18
1,8,20
1,8,18
1,8,18
1,8,17
1,8,17
1,8,15
1,8,14
1,8,18
1,8,47
1,8,14
1,8,19
1,8,21
1,16,30
1,16,27
1,16,30
1,16,25
1,16,25
1,16,22
1,16,25
1,16,34
1,16,27
1,16,41
1,16,38
1,16,24
1,16,27
1,16,31
1,16,23
1,16,37
1,16,25
1,16,28
1,16,26
1,16,29
1,16,25
1,16,32
1,16,34
1,16,21
1,16,21
1,16,28
1,16,28
1,16,24
1,16,24
1,16,43
1,16,28
1,16,21
1,16,25
1,16,24
1,16,27
1,16,26
1,16,23
1,16,23
1,16,25
1,16,37
1,16,29
1,16,27
1,16,52
1,16,26
1,16,24
1,16,28
1,16,28
1,16,23
1,16,23
1,16,25
1,16,34
1,16,23
1,16,25
1,16,42
1,16,22
1,16,27
1,16,22
1,16,23
1,16,25
1,16,29
1,16,26
1,16,27
1,16,30
1,16,30
1,16,25
1,16,27
1,16,27
1,16,27
1,16,21
1,16,25
1,16,25
1,16,28
1,16,32
1,16,26
1,16,26
1,16,23
1,16,41
1,16,25
1,16,23
1,16,29
1,16,23
1,16,32
1,16,30
1,16,22
1,16,43
1,16,27
1,16,22
1,16,23
1,16,29
1,16,29
1,16,24
1,16,30
1,16,22
1,16,33
1,16,27
1,16,25
1,16,29
1,16,23
1,16,19
1,16,25
1,32,36
1,32,35
1,32,35
1,32,33
1,32,39
1,32,33
1,32,32
1,32,31
1,32,48
1,32,48
1,32,43
1,32,36
1,32,37
1,32,32
1,32,38
1,32,36
1,32,30
1,32,39
1,32,37
1,32,38
1,32,37
1,32,35
1,32,52
1,32,34
1,32,35
1,32,36
1,32,38
1,32,37
1,32,38
1,32,35
1,32,52
1,32,35
1,32,34
1,32,40
1,32,32
1,32,34
1,32,28
1,32,36
1,32,44
1,32,38
1,32,41
1,32,38
1,32,32
1,32,40
1,32,39
1,32,37
1,32,36
1,32,37
1,32,37
1,32,36
1,32,37
1,32,34
1,32,41
1,32,35
1,32,37
1,32,34
1,32,32
1,32,34
1,32,35
1,32,28
1,32,35
1,32,41
1,32,36
1,32,36
1,32,35
1,32,36
1,32,39
1,32,39
1,32,32
1,32,33
1,32,35
1,32,34
1,32,40
1,32,33
1,32,37
1,32,35
1,32,36
1,32,36
1,32,34
1,32,46
1,32,38
1,32,43
1,32,33
1,32,34
1,32,39
1,32,34
1,32,34
1,32,52
1,32,41
1,32,37
1,32,34
1,32,36
1,32,45
1,32,35
1,32,36
1,32,34
1,32,31
1,32,56
1,32,36
1,32,40
1,64,63
1,64,46
1,64,43
1,64,43
1,64,58
1,64,43
1,64,41
1,64,39
1,64,42
1,64,59
1,64,46
1,64,43
1,64,41
1,64,44
1,64,43
1,64,40
1,64,58
1,64,41
1,64,42
1,64,43
1,64,43
1,64,39
1,64,42
1,64,40
1,64,40
1,64,54
1,64,41
1,64,39
1,64,38
1,64,41
1,64,38
1,64,46
1,64,60
1,64,39
1,64,37
1,64,41
1,64,44
1,64,42
1,64,56
1,64,41
1,64,41
1,64,58
1,64,42
1,64,40
1,64,41
1,64,43
1,64,39
1,64,44
1,64,43
1,64,43
1,64,43
1,64,39
1,64,45
1,64,58
1,64,43
1,64,42
1,64,42
1,64,41
1,64,59
1,64,38
1,64,41
1,64,43
1,64,41
1,64,46
1,64,37
1,64,40
1,64,42
1,64,54
1,64,59
1,64,42
1,64,41
1,64,42
1,64,42
1,64,43
1,64,45
1,64,41
1,64,41
1,64,42
1,64,40
1,64,42
1,64,43
1,64,46
1,64,46
1,64,41
1,64,58
1,64,40
1,64,38
1,64,66
1,64,38
1,64,46
1,64,41
1,64,38
1,64,38
1,64,42
1,64,42
1,64,39
1,64,41
1,64,37
1,64,41
1,64,41
1,128,54
1,128,52
1,128,46
1,128,46
1,128,48
1,128,46
1,128,46
1,128,49
1,128,50
1,128,50
1,128,57
1,128,54
1,128,50
1,128,52
1,128,50
1,128,47
1,128,49
1,128,51
1,128,45
1,128,47
1,128,46
1,128,48
1,128,49
1,128,64
1,128,45
1,128,48
1,128,45
1,128,62
1,128,46
1,128,46
1,128,47
1,128,46
1,128,45
